SYMBOL,DATE,SPX YE15,SPX YE17,SPX 15-17,SEDOL,TICKER-REGION,PRICE YE15,PRICE YE17,RETURN 15-17,REL-RETURN,ROE,SECURITY NAME,NAME,TICKER,EXCHANGE,PEER_GROUP,REGION,COUNTRY,COMP_GROUP_AVG,TOTAL_ESG_SCORE,ENVIRONMENT_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,TOTAL_ESG_PTILE,ENVIRONMENT_PTILE,SOCIAL_PTILE,GOVERNANCE_PTILE,ENVIRONMENT_WEIGHT,SOCIAL_WEIGHT,GOVERNANCE_WEIGHT,E_OPERATIONS_INCIDENTS,E_SUPPLYCHAIN_INCIDENTS,E_PRODSERVICE_INCIDENTS,S_EMPLOYEE_INCIDENTS,S_SUPPLYCHAIN_INCIDENTS,S_CUSTOMER_INCIDENTS,S_COMMUNITY_INCIDENTS,G_BUSETHICS_INCIDENTS,G_GOVERNANCE_INCIDENTS,G_PUBLIC_POLICY_INCIDENTS,OLD_SYMBOL,CONTROVERSY_LEVEL
2108601,20151231," 	2,063.4 "," 	2,673.6 ",0.30,210860,BA-US, 	146.41 , 	294.91 , 	1.01 , 	0.72 , 	46.22 ,Boeing Company,The Boeing Company,BA,NYSE,Aerospace & Defense,United States and Canada,United States,,55.00000,62.00000,45.00000,59.00000,25.64000,56.41000,12.82000,10.26000,0.350000,0.350000,0.300000,Category 3,No Evidence of Controversy,No Evidence of Controversy,Category 3,No Evidence of Controversy,Category 3,Category 3,Category 2,Category 2,No Evidence of Controversy,US0970231058,@NA
2089427,20151231," 	2,063.4 "," 	2,673.6 ",0.30,208942,BEAV-US, 	42.92 ,, 	(1.00), 	(1.30), 	4.41 ,"B/E Aerospace, Inc.",BE Aerospace Inc.,BEAV,NasdaqGS,Aerospace & Defense,United States and Canada,United States,,47.00000,40.00000,44.00000,59.00000,2.560000,0.000000,7.690000,10.26000,0.350000,0.350000,0.300000,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,Category 1,Category 1,Category 1,No Evidence of Controversy,No Evidence of Controversy,US0733021010,@NA
2767228,20151231," 	2,063.4 "," 	2,673.6 ",0.30,276722,COL-US, 	93.27 , 	135.62 , 	0.45 , 	0.16 , 	36.92 ,"Rockwell Collins, Inc.",Rockwell Collins Inc.,COL,NYSE,Aerospace & Defense,United States and Canada,United States,,70.00000,70.00000,66.00000,75.00000,76.92000,82.05000,79.49000,82.05000,0.350000,0.350000,0.300000,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,US7743411016,@NA
2365161,20151231," 	2,063.4 "," 	2,673.6 ",0.30,236516,GD-US, 	139.26 , 	203.45 , 	0.46 , 	0.17 , 	20.30 ,General Dynamics Corporation,General Dynamics Corporation,GD,NYSE,Aerospace & Defense,United States and Canada,United States,,55.00000,54.00000,51.00000,60.00000,25.64000,30.77000,25.64000,15.38000,0.350000,0.350000,0.300000,Category 1,No Evidence of Controversy,No Evidence of Controversy,Category 1,No Evidence of Controversy,No Evidence of Controversy,Category 1,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,US3695501086,@NA
2020459,20151231," 	2,063.4 "," 	2,673.6 ",0.30,202045,HON-US, 	103.87 , 	153.36 , 	0.48 , 	0.18 , 	24.14 ,Honeywell International Inc.,Honeywell International Inc.,HON,NYSE,Aerospace & Defense,United States and Canada,United States,,59.00000,50.00000,54.00000,74.00000,38.46000,20.51000,35.90000,79.49000,0.350000,0.350000,0.300000,Category 3,No Evidence of Controversy,No Evidence of Controversy,Category 2,No Evidence of Controversy,Category 3,Category 1,Category 1,No Evidence of Controversy,No Evidence of Controversy,US4385161066,@NA
BT6T3G0,20151231," 	2,063.4 "," 	2,673.6 ",0.30,BT6T3G,KLXI-US, 	30.90 , 	68.25 , 	1.21 , 	0.91 , 	3.25 ,"KLX, Inc.",KLX Inc.,KLXI,NasdaqGS,Aerospace & Defense,United States and Canada,United States,,49.00000,41.00000,43.00000,66.00000,5.130000,7.690000,0.000000,53.85000,0.350000,0.350000,0.300000,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,US4825391034,@NA
2247366,20151231," 	2,063.4 "," 	2,673.6 ",0.30,BYZGYC,LLL-US, 	120.94 , 	197.85 , 	0.64 , 	0.34 , 	11.18 ,L3 Technologies Inc,L-3 Communications Holdings Inc.,LLL,NYSE,Aerospace & Defense,United States and Canada,United States,,51.00000,46.00000,50.00000,57.00000,12.82000,15.38000,23.08000,5.130000,0.350000,0.350000,0.300000,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,Category 1,Category 2,Category 2,No Evidence of Controversy,US5024241045,@NA
2522096,20151231," 	2,063.4 "," 	2,673.6 ",0.30,252209,LMT-US, 	219.80 , 	321.05 , 	0.46 , 	0.16 , 	86.90 ,Lockheed Martin Corporation,Lockheed Martin Corporation,LMT,NYSE,Aerospace & Defense,United States and Canada,United States,,71.00000,73.00000,64.00000,78.00000,79.49000,87.18000,74.36000,84.62000,0.350000,0.350000,0.300000,Category 2,No Evidence of Controversy,No Evidence of Controversy,Category 2,No Evidence of Controversy,Category 2,Category 2,Category 2,No Evidence of Controversy,Category 1,US5398301094,@NA
2648806,20151231," 	2,063.4 "," 	2,673.6 ",0.30,264880,NOC-US, 	190.08 , 	306.91 , 	0.61 , 	0.32 , 	23.18 ,Northrop Grumman Corporation,Northrop Grumman Corporation,NOC,NYSE,Aerospace & Defense,United States and Canada,United States,,68.00000,59.00000,66.00000,81.00000,74.36000,46.15000,79.49000,92.31000,0.350000,0.350000,0.300000,Category 2,No Evidence of Controversy,No Evidence of Controversy,Category 1,No Evidence of Controversy,Category 1,No Evidence of Controversy,Category 1,No Evidence of Controversy,No Evidence of Controversy,US6668071029,@NA
BVGC686,20151231," 	2,063.4 "," 	2,673.6 ",0.30,BVGC68,OA-US, 	90.53 , 	131.50 , 	0.45 , 	0.16 ,,"Orbital ATK, Inc.",Orbital ATK Inc.,OA,NYSE,Aerospace & Defense,United States and Canada,United States,,64.00000,56.00000,55.00000,83.00000,61.54000,41.03000,41.03000,94.87000,0.350000,0.350000,0.300000,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,Category 1,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,No Evidence of Controversy,US68557N1037,@NA
