SYMBOL,DATE,SPX YE16,SPX YE17,SPX 16-17,SEDOL,TICKER-REGION,PRICE YE16,PRICE YE17,RETURN 16-17,REL-RETURN,ROE,SECURITY NAME,NAME,TICKER,EXCHANGE,PEER_GROUP,REGION,COUNTRY,COMP_GROUP_AVG,TOTAL_ESG_SCORE,ENVIRONMENT_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,TOTAL_ESG_PTILE,ENVIRONMENT_PTILE,SOCIAL_PTILE,GOVERNANCE_PTILE,ENVIRONMENT_WEIGHT,SOCIAL_WEIGHT,GOVERNANCE_WEIGHT,E_OPERATIONS_INCIDENTS,E_SUPPLYCHAIN_INCIDENTS,E_PRODSERVICE_INCIDENTS,S_EMPLOYEE_INCIDENTS,S_SUPPLYCHAIN_INCIDENTS,S_CUSTOMER_INCIDENTS,S_COMMUNITY_INCIDENTS,G_BUSETHICS_INCIDENTS,G_GOVERNANCE_INCIDENTS,G_PUBLIC_POLICY_INCIDENTS,OLD_SYMBOL,CONTROVERSY_LEVEL
2767198,20161230,2238.83,2673.61,0.19,BDT5S3,AAXN-US, 	24.24 , 	26.50 , 	0.09 , 	(0.10), 	11.24 ,Axon Enterprise Inc,TASER International Inc.,TASR,NasdaqGS,Aerospace & Defense,United States and Canada,United States,60.79000,45.54000,,,,5.000000,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,Category 1,No evidence of relevant controversies,Category 2,No evidence of relevant controversies,Category 1,No evidence of relevant controversies,No evidence of relevant controversies,US87651B1044,Category 2
2629566,20161230,2238.83,2673.61,0.19,262956,AERG-US, 	0.02 , 	0.06 , 	1.42 , 	1.22 ,,"Applied Energetics, Inc.",Applied Energetics Inc.,AERG,OTCPK,Aerospace & Defense,United States and Canada,United States,,,,,,,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US03819M1062,No evidence of relevant controversies
2001119,20161230,2238.83,2673.61,0.19,200111,AIR-US, 	33.05 , 	39.29 , 	0.19 , 	(0.01), 	4.43 ,AAR CORP.,AAR Corp.,AIR,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,48.81000,,,,5.000000,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US0003611052,No evidence of relevant controversies
BWD7PX9,20161230,2238.83,2673.61,0.19,BWD7PX,AJRD-US, 	17.95 , 	31.20 , 	0.74 , 	0.54 ,,"Aerojet Rocketdyne Holdings, Inc.",Aerojet Rocketdyne Holdings Inc.,AJRD,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,45.63000,,,,5.000000,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,Category 2,No evidence of relevant controversies,Category 1,No evidence of relevant controversies,No evidence of relevant controversies,Category 2,No evidence of relevant controversies,US0078001056,Category 2
B17MSY5,20161230,2238.83,2673.61,0.19,B17MSY,ARTX-US, 	3.50 , 	3.55 , 	0.01 , 	(0.18), 	(2.26),Arotech Corporation,Arotech Corporation,ARTX,NasdaqGM,Aerospace & Defense,United States and Canada,United States,,,,,,,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US0426822039,No evidence of relevant controversies
2029207,20161230,2238.83,2673.61,0.19,202920,ASEI-US,,,,, 	(2.29),"American Science and Engineering, Inc.",American Science & Engineering Inc.,@NA,NasdaqGS,Aerospace & Defense,United States and Canada,United States,60.79000,53.57000,,,,25.00000,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US0294291077,No evidence of relevant controversies
B0BBWP0,20161230,2238.83,2673.61,0.19,B0BBWP,ATNY-US,,,,,,API Technologies Corp.,API Technologies Corp.,@NA,@NA,Aerospace & Defense,United States and Canada,United States,,,,,,,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US00187E2037,No evidence of relevant controversies
2060518,20161230,2238.83,2673.61,0.19,206051,ATRO-US, 	33.84 , 	41.47 , 	0.23 , 	0.03 , 	15.19 ,Astronics Corporation,Astronics Corporation,ATRO,NasdaqGS,Aerospace & Defense,United States and Canada,United States,60.79000,47.23000,,,,5.000000,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US0464331083,No evidence of relevant controversies
B1P5YY8,20161230,2238.83,2673.61,0.19,B1P5YY,AVAV-US, 	26.83 , 	56.16 , 	1.09 , 	0.90 , 	2.52 ,"AeroVironment, Inc.",AeroVironment Inc.,AVAV,NasdaqGS,Aerospace & Defense,United States and Canada,United States,60.79000,49.32000,,,,10.00000,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US0080731088,No evidence of relevant controversies
2108601,20161230,2238.83,2673.61,0.19,210860,BA-US, 	155.68 , 	294.91 , 	0.89 , 	0.70 , 	136.80 ,Boeing Company,The Boeing Company,BA,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,54.80000,61.80000,42.27000,61.25000,30.95000,54.76000,11.90000,21.43000,0.350000,0.350000,0.300000,Category 3,No evidence of relevant controversies,No evidence of relevant controversies,Category 3,No evidence of relevant controversies,Category 3,Category 3,Category 2,No evidence of relevant controversies,No evidence of relevant controversies,US0970231058,Category 3
2089427,20161230,2238.83,2673.61,0.19,208942,BEAV-US, 	60.19 ,, 	(1.00), 	(1.19), 	228.75 ,"B/E Aerospace, Inc.",BE Aerospace Inc.,BEAV,NasdaqGS,Aerospace & Defense,United States and Canada,United States,60.79000,51.47000,48.01000,42.67000,65.78000,21.43000,23.81000,14.29000,42.86000,0.350000,0.350000,0.300000,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,Category 1,Category 1,Category 1,No evidence of relevant controversies,No evidence of relevant controversies,US0733021010,Category 1
BYSFDM7,20161230,2238.83,2673.61,0.19,BYSFDM,BPOL-US, 	0.23 , 	1.19 , 	4.13 , 	3.94 ,,"BlackPoll Fleet International, Inc.",BlackPoll Fleet International Inc.,BPOL,OTCPK,Aerospace & Defense,United States and Canada,United States,,,,,,,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US09258J1088,No evidence of relevant controversies
2418270,20161230,2238.83,2673.61,0.19,241827,BRSI-US, 	0.02 , 	0.05 , 	0.84 , 	0.65 ,,"Ballistic Recovery Systems, Inc.",Ballistic Recovery Systems Inc.,BRSI,OTCPK,Aerospace & Defense,United States and Canada,United States,,,,,,,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US0586591036,No evidence of relevant controversies
BHLY496,20161230,2238.83,2673.61,0.19,BHLY49,BTGI-US, 	0.00 , 	0.00 , 	(0.41), 	(0.61),,"Bulova Technologies Group, Inc.",Bulova Technologies Group Inc.,BTGI,OTCPK,Aerospace & Defense,United States and Canada,United States,,,,,,,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US1204582035,No evidence of relevant controversies
2157302,20161230,2238.83,2673.61,0.19,215730,BUKS-US, 	0.23 , 	0.31 , 	0.34 , 	0.15 , 	0.11 ,Butler National Corporation,Butler National Corporation,BUKS,OTCPK,Aerospace & Defense,United States and Canada,United States,,,,,,,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US1237201041,No evidence of relevant controversies
2767228,20161230,2238.83,2673.61,0.19,276722,COL-US, 	92.76 , 	135.62 , 	0.46 , 	0.27 , 	36.78 ,"Rockwell Collins, Inc.",Rockwell Collins Inc.,COL,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,71.56000,71.29000,68.67000,75.25000,85.71000,80.95000,88.10000,83.33000,0.350000,0.350000,0.300000,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US7743411016,No evidence of relevant controversies
2239266,20161230,2238.83,2673.61,0.19,223926,CUB-US, 	47.95 , 	58.95 , 	0.23 , 	0.04 , 	0.24 ,Cubic Corporation,Cubic Corporation,CUB,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,50.25000,,,,15.00000,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US2296691064,No evidence of relevant controversies
2431318,20161230,2238.83,2673.61,0.19,243131,CVU-US, 	9.25 , 	8.95 , 	(0.03), 	(0.23), 	(5.22),"CPI Aerostructures, Inc.",CPI Aerostructures Inc.,CVU,AMEX,Aerospace & Defense,United States and Canada,United States,,,,,,,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US1259193084,No evidence of relevant controversies
2241205,20161230,2238.83,2673.61,0.19,224120,CW-US, 	98.36 , 	121.85 , 	0.24 , 	0.04 , 	14.87 ,Curtiss-Wright Corporation,Curtiss-Wright Corporation,CW,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,49.85000,,,,10.00000,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,Category 1,No evidence of relevant controversies,No evidence of relevant controversies,US2315611010,Category 1
B1Y3VR5,20161230,2238.83,2673.61,0.19,B1Y3VR,CYLU-US, 	0.16 ,, 	(1.00), 	(1.19), 	18.64 ,"Cyalume Technologies Holdings, Inc.",Cyalume Technologies Holdings Inc.,CYLU,OTCPK,Aerospace & Defense,United States and Canada,United States,,,,,,,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US2324291002,No evidence of relevant controversies
2283229,20161230,2238.83,2673.61,0.19,228322,DCO-US, 	25.56 , 	28.45 , 	0.11 , 	(0.08), 	12.70 ,Ducommun Incorporated,Ducommun Incorporated,DCO,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,42.11000,,,,5.000000,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US2641471097,No evidence of relevant controversies
B0V0257,20161230,2238.83,2673.61,0.19,B0V025,DGI-US, 	28.65 ,, 	(1.00), 	(1.19), 	2.11 ,"DigitalGlobe, Inc.",DigitalGlobe Inc.,DGI,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,48.56000,,,,5.000000,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US25389M8771,No evidence of relevant controversies
B3X9J74,20161230,2238.83,2673.61,0.19,B3X9J7,EACIQ-US, 	0.10 ,, 	(1.00), 	(1.19),,Erickson Incorporated,Erickson Incorporated,EACI.Q,NasdaqGM,Aerospace & Defense,United States and Canada,United States,,,,,,,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US29482P1003,No evidence of relevant controversies
BVWVSS1,20161230,2238.83,2673.61,0.19,BVWVSS,EGL-US, 	33.70 , 	28.37 , 	(0.16), 	(0.35), 	(1.56),"Engility Holdings, Inc.",Engility Holdings Inc.,EGL,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,49.89000,,,,10.00000,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US29286C1071,No evidence of relevant controversies
2322047,20161230,2238.83,2673.61,0.19,232204,ESL-US, 	89.20 , 	74.70 , 	(0.16), 	(0.36), 	7.23 ,Esterline Technologies Corporation,Esterline Technologies Corporation,ESL,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,45.96000,,,,5.000000,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,Category 1,No evidence of relevant controversies,No evidence of relevant controversies,US2974251009,Category 1
2318422,20161230,2238.83,2673.61,0.19,231842,ETCC-US, 	0.48 , 	1.00 , 	1.08 , 	0.89 , 	(73.73),Environmental Tectonics Corporation,Environmental Tectonics Corporation,ETCC,OTCPK,Aerospace & Defense,United States and Canada,United States,,,,,,,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US2940921016,No evidence of relevant controversies
B064LH9,20161230,2238.83,2673.61,0.19,B064LH,FRPT.XX1-US,,,,,,Force Protection,Force Protection Inc.,@NA,@NA,Aerospace & Defense,United States and Canada,United States,60.79000,55.06000,54.06000,48.61000,63.75000,33.33000,28.57000,35.71000,30.95000,0.350000,0.350000,0.300000,Category 1,No evidence of relevant controversies,No evidence of relevant controversies,Category 1,No evidence of relevant controversies,No evidence of relevant controversies,Category 3,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US3452032028,Category 3
2365161,20161230,2238.83,2673.61,0.19,236516,GD-US, 	172.66 , 	203.45 , 	0.18 , 	(0.02), 	25.47 ,General Dynamics Corporation,General Dynamics Corporation,GD,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,55.06000,54.06000,48.61000,63.75000,33.33000,28.57000,35.71000,30.95000,0.350000,0.350000,0.300000,Category 1,No evidence of relevant controversies,No evidence of relevant controversies,Category 1,No evidence of relevant controversies,No evidence of relevant controversies,Category 3,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US3695501086,Category 3
2419217,20161230,2238.83,2673.61,0.19,241921,HEI-US, 	49.38 , 	75.48 , 	0.53 , 	0.33 , 	17.62 ,HEICO Corporation,HEICO Corporation,HEI,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,47.23000,,,,5.000000,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US4228061093,No evidence of relevant controversies
B40SSC9,20161230,2238.83,2673.61,0.19,B40SSC,HII-US, 	184.19 , 	235.70 , 	0.28 , 	0.09 , 	36.46 ,"Huntington Ingalls Industries, Inc.",Huntington Ingalls Industries Inc.,HII,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,47.23000,,,,5.000000,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US4464131063,No evidence of relevant controversies
2020459,20161230,2238.83,2673.61,0.19,202045,HON-US, 	115.85 , 	153.36 , 	0.32 , 	0.13 , 	25.54 ,Honeywell International Inc.,Honeywell International Inc.,HON,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,56.95000,55.57000,48.36000,68.58000,38.10000,35.71000,33.33000,66.67000,0.350000,0.350000,0.300000,Category 3,No evidence of relevant controversies,No evidence of relevant controversies,Category 2,No evidence of relevant controversies,Category 3,Category 1,Category 2,No evidence of relevant controversies,No evidence of relevant controversies,US4385161066,Category 3
2416779,20161230,2238.83,2673.61,0.19,241677,HXL-US, 	51.44 , 	61.85 , 	0.20 , 	0.01 , 	20.61 ,Hexcel Corporation,Hexcel Corporation,HXL,NYSE,Aerospace & Defense,United States and Canada,United States,60.79000,57.67000,,,,45.00000,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US4282911084,No evidence of relevant controversies
2616397,20161230,2238.83,2673.61,0.19,261639,ISSC-US, 	3.33 , 	2.94 , 	(0.12), 	(0.31), 	6.19 ,"Innovative Solutions and Support, Inc.",Innovative Solutions & Support Inc.,ISSC,NasdaqGS,Aerospace & Defense,United States and Canada,United States,,,,,,,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US45769N1054,No evidence of relevant controversies
B29N9Q2,20161230,2238.83,2673.61,0.19,BG0W7J,JETR-US, 	0.13 , 	0.85 , 	5.52 , 	5.32 , 	(1.92),"Star Jets International, Inc.",Advanced Defense Technologies Inc.,ADCF,OTCPK,Aerospace & Defense,United States and Canada,United States,,,,,,,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US00752Y1055,No evidence of relevant controversies
B40SY10,20161230,2238.83,2673.61,0.19,B40SY1,KEYW-US, 	11.79 , 	5.87 , 	(0.50), 	(0.70), 	0.77 ,KEYW Holding Corporation,The KEYW Holding Corporation,KEYW,NasdaqGS,Aerospace & Defense,United States and Canada,United States,60.79000,44.67000,,,,5.000000,,,,,,,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,US4937231003,No evidence of relevant controversies
BT6T3G0,20161230,2238.83,2673.61,0.19,BT6T3G,KLXI-US, 	45.11 , 	68.25 , 	0.51 , 	0.32 , 	(16.00),"KLX, Inc.",KLX Inc.,KLXI,NasdaqGS,Aerospace & Defense,United States and Canada,United States,60.79000,47.87000,37.14000,43.31000,65.69000,11.90000,4.760000,21.43000,40.48000,0.350000,0.350000,0.300000,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,No evidence of relevant controversies,Category 1,No evidence of relevant controversies,US4825391034,Category 1
